iter	Passed	Remaining
181	552	964
182	554	960
183	556	955
184	558	951
185	560	945
186	562	941
187	564	936
188	566	931
189	568	927
190	570	923
191	572	918
192	574	914
193	576	909
194	578	905
195	580	900
196	582	896
197	584	891
198	586	887
199	588	883
200	590	878
201	592	874
202	594	869
203	596	865
204	598	861
205	600	856
206	602	852
207	604	848
208	606	844
209	608	840
210	610	836
211	612	832
212	614	828
213	616	824
214	618	820
215	621	816
216	623	812
217	625	809
218	627	805
219	629	801
220	631	797
221	633	793
222	635	789
223	638	786
224	640	782
225	642	778
226	644	774
227	646	770
228	648	766
229	650	763
230	652	759
231	654	755
232	655	751
233	657	747
234	659	743
235	661	740
236	663	736
237	665	732
238	667	728
239	669	725
240	671	721
241	673	718
242	675	714
243	677	710
244	679	706
245	681	703
246	683	700
247	686	697
248	688	693
249	690	690
250	692	687
251	695	684
252	697	680
253	699	677
254	701	674
255	703	670
256	706	667
257	708	664
258	710	660
259	712	657
260	714	654
261	716	650
262	718	647
263	720	644
264	722	641
265	725	637
266	727	634
267	729	631
268	731	628
269	733	624
270	735	621
271	737	618
272	739	614
273	742	612
274	744	608
275	746	605
276	748	602
277	751	599
278	753	596
279	756	594
280	758	590
281	760	587
282	762	584
283	764	581
284	767	578
285	769	575
286	771	572
287	773	569
288	776	566
289	778	563
290	780	560
291	782	557
292	785	554
293	787	551
294	789	548
295	792	545
296	794	543
297	797	540
298	799	537
299	801	534
300	803	531
301	806	528
302	808	525
303	811	523
304	813	520
305	816	517
306	819	515
307	821	512
308	823	509
309	826	506
310	828	503
311	830	500
312	833	497
313	836	495
314	839	492
315	841	490
316	844	487
317	846	484
318	849	481
319	852	479
320	854	476
321	857	473
322	859	471
323	862	468
324	864	465
325	867	462
326	869	460
327	872	457
328	874	454
329	876	451
330	879	449
331	881	446
332	884	443
333	886	440
334	889	437
335	891	435
336	894	432
337	896	429
338	898	426
339	900	423
340	902	421
341	905	418
342	907	415
343	909	412
344	911	409
345	913	406
346	915	403
347	917	400
348	920	398
349	922	395
350	924	392
351	926	389
352	928	386
353	930	383
354	933	381
355	935	378
356	937	375
357	939	372
358	942	370
359	944	367
360	947	364
361	949	361
362	951	359
363	954	356
364	956	353
365	959	351
366	961	348
367	964	345
368	966	343
369	969	340
370	972	338
371	975	335
372	977	332
373	980	330
374	983	327
375	986	325
376	989	322
377	992	320
378	994	317
379	997	314
380	999	312
381	1002	309
382	1004	306
383	1007	304
384	1009	301
385	1012	298
386	1014	296
387	1017	293
388	1019	291
389	1022	288
390	1025	285
391	1028	283
392	1030	280
393	1033	278
394	1036	275
395	1039	273
396	1042	270
397	1045	267
398	1047	265
399	1049	262
400	1052	259
401	1055	257
402	1057	254
403	1060	251
404	1062	249
405	1064	246
406	1067	243
407	1069	241
408	1071	238
409	1073	235
410	1075	232
411	1077	230
412	1079	227
413	1081	224
414	1083	221
415	1085	219
416	1087	216
417	1089	213
418	1091	211
419	1093	208
420	1095	205
421	1098	202
422	1100	200
423	1102	197
424	1104	194
425	1106	192
426	1107	189
427	1109	186
428	1112	184
429	1114	181
430	1115	178
431	1117	175
432	1119	173
433	1121	170
434	1124	167
435	1126	165
436	1128	162
437	1130	159
438	1132	157
439	1134	154
440	1136	152
441	1138	149
442	1140	146
443	1142	144
444	1144	141
445	1147	138
446	1149	136
447	1151	133
448	1153	131
449	1155	128
450	1157	125
451	1159	123
452	1161	120
453	1163	117
454	1165	115
455	1167	112
456	1169	110
457	1171	107
458	1173	104
459	1175	102
460	1177	99
461	1179	97
462	1181	94
463	1184	91
464	1186	89
465	1188	86
466	1190	84
467	1192	81
468	1194	78
469	1196	76
470	1198	73
471	1200	71
472	1202	68
473	1204	66
474	1206	63
475	1208	60
476	1210	58
477	1212	55
478	1214	53
479	1217	50
480	1219	48
481	1221	45
482	1223	43
483	1224	40
484	1226	37
485	1228	35
486	1230	32
487	1232	30
488	1234	27
489	1236	25
490	1238	22
491	1240	20
492	1242	17
493	1244	15
494	1246	12
495	1248	10
496	1250	7
497	1252	5
498	1255	2
499	1257	0
