iter	RMSE
0	35.86878726
1	32.45807481
2	29.35209414
3	26.51524904
4	23.98766385
5	21.69645197
6	19.64485786
7	17.81130012
8	16.16629735
9	14.63709115
10	13.22565234
11	11.98180064
12	10.88021734
13	9.858774138
14	8.929336411
15	8.087311079
16	7.353309472
17	6.675985525
18	6.04616776
19	5.480974049
20	4.984281727
21	4.523810988
22	4.120470198
23	3.749865783
24	3.415222813
25	3.124021947
26	2.866784553
27	2.63702857
28	2.428991914
29	2.238840262
30	2.067410377
31	1.921911492
32	1.788428081
33	1.671405126
34	1.572862875
35	1.481912552
36	1.403142949
37	1.332050408
38	1.270434346
39	1.217560088
40	1.1692636
41	1.130299706
42	1.092038605
43	1.064869458
44	1.029710711
45	1.004622191
46	0.9796422539
47	0.9583915719
48	0.9384683317
49	0.91851675
50	0.8974506817
51	0.885215617
52	0.8738654961
53	0.8639948612
54	0.8477412238
55	0.8325890423
56	0.8244155955
57	0.8159215631
58	0.8053955614
59	0.7984751991
60	0.7891062008
61	0.7828616182
62	0.7783960011
63	0.7694059868
64	0.7643395946
65	0.7603065025
66	0.751656382
67	0.7465248514
68	0.7407652811
69	0.7344904597
70	0.7246035774
71	0.7179772632
72	0.7128605497
73	0.7071357744
74	0.7012000982
75	0.6965777781
76	0.6941124552
77	0.6901421231
78	0.6862637461
79	0.6851286663
80	0.6784834468
81	0.6727454801
82	0.6716741856
83	0.6670392704
84	0.6640613432
85	0.6613032892
86	0.6542222482
87	0.6468983065
88	0.6430931356
89	0.6371983928
90	0.6307089788
91	0.6292597993
92	0.6261383478
93	0.6190858417
94	0.6149329785
95	0.6098292654
96	0.6041230966
97	0.5993667036
98	0.5955429716
99	0.5946060117
100	0.5911006107
101	0.5875198392
102	0.5817650758
103	0.5781884151
104	0.574363019
105	0.5705213648
106	0.5668639987
107	0.56430214
108	0.5611330112
109	0.5564493884
110	0.5544967916
111	0.5535769952
112	0.5499198677
113	0.5458564062
114	0.5426651457
115	0.5412271147
116	0.5384586142
117	0.5340375749
118	0.5291789119
119	0.5261250288
120	0.5253491283
121	0.5236502965
122	0.5197975581
123	0.5160501416
124	0.5129837083
125	0.5107349669
126	0.5100619964
127	0.5072506481
128	0.5046910358
129	0.503541945
130	0.502260979
131	0.5001069432
132	0.497468349
133	0.4955443213
134	0.492135499
135	0.4889994934
136	0.4884159596
137	0.4865357667
138	0.4848001115
139	0.4831100274
140	0.4798127826
141	0.4775309432
142	0.4759985242
143	0.4755705243
144	0.4737422
145	0.47217955
146	0.4715426172
147	0.4694965295
148	0.4687443961
149	0.4683187169
150	0.4665022017
151	0.4661644268
152	0.4649945353
153	0.4627781852
154	0.4611158957
155	0.4587871484
156	0.4576123962
157	0.4560222328
158	0.4556006336
159	0.4553179615
160	0.4547360135
161	0.4530968548
162	0.4502570634
163	0.4478485467
164	0.4464047505
165	0.4450514549
166	0.4426447314
167	0.4416304369
168	0.4404903465
169	0.4400995813
170	0.4397447148
171	0.4379570434
172	0.4354379409
173	0.4342405286
174	0.4321017658
175	0.430326076
176	0.4286700321
