iter	RMSE
177	0.4273463653
178	0.4259632508
179	0.4257324426
180	0.4238107395
181	0.4228569004
182	0.4216978508
183	0.4205105452
184	0.4189392383
185	0.4187372193
186	0.4181889736
187	0.4175696958
188	0.4168078622
189	0.4164808973
190	0.4148920842
191	0.4140768832
192	0.4130839448
193	0.4113850379
194	0.4103455702
195	0.4090815202
196	0.4076154616
197	0.4070038687
198	0.4057163936
199	0.4044446569
200	0.4024230146
201	0.4011597305
202	0.4002997553
203	0.3997836474
204	0.3993405327
205	0.398502958
206	0.3981156772
207	0.3974894552
208	0.3972187458
209	0.3960232701
210	0.3956999897
211	0.3948386164
212	0.3940660276
213	0.3923629568
214	0.3919884224
215	0.3917344994
216	0.3910969812
217	0.3904107344
218	0.3889406366
219	0.387953933
220	0.3864636073
221	0.3852676634
222	0.3842174679
223	0.3838091613
224	0.3836088226
225	0.3826408135
226	0.3818099661
227	0.3815117636
228	0.3813445534
229	0.3804737015
230	0.3796487162
231	0.3788082535
232	0.378490484
233	0.3771079499
234	0.3764210776
235	0.3756757012
236	0.3749773514
237	0.3743752411
238	0.3741390146
239	0.3739190028
240	0.3737331497
241	0.3735875678
242	0.3723533014
243	0.3718167254
244	0.3710462721
245	0.3705029394
246	0.3703177143
247	0.3693984627
248	0.368704554
249	0.3678761136
250	0.3672414978
251	0.3662413529
252	0.3657210955
253	0.3653621086
254	0.3652410179
255	0.3640823584
256	0.3634316495
257	0.3632157679
258	0.3623954993
259	0.3619240337
260	0.3614106301
261	0.3605401897
262	0.3599263496
263	0.3592510931
264	0.3584795984
265	0.3578407023
266	0.3573879272
267	0.3571741395
268	0.3563999876
269	0.3558722714
270	0.3555892903
271	0.3554686916
272	0.3549591206
273	0.3545592324
274	0.3544008279
275	0.3537989876
276	0.3534167916
277	0.3533100054
278	0.3525763865
279	0.3520748519
280	0.3516954136
281	0.3511972274
282	0.3510516813
283	0.3509073506
284	0.3504772301
285	0.3499052128
286	0.3492679026
287	0.3486719199
288	0.3481981496
289	0.3478038218
290	0.3475645542
291	0.3471666079
292	0.3468053544
293	0.3466920866
294	0.3465264585
295	0.3464051609
296	0.3456250888
297	0.3455227086
298	0.3454323473
299	0.3453583095
300	0.3448697142
301	0.3443285726
302	0.3439468116
303	0.3436292947
304	0.3434414855
305	0.3429803878
306	0.3427156059
307	0.3419327695
308	0.3415110357
309	0.3411365483
310	0.340917792
311	0.3407305758
312	0.340632783
313	0.3401313717
314	0.3394887631
315	0.3393125122
316	0.3387078036
317	0.3380247445
318	0.3379559396
319	0.3375568467
320	0.3369852386
321	0.3367017236
322	0.3363364527
323	0.3358446429
324	0.3357902353
325	0.3355248879
326	0.3350853272
327	0.3346234462
328	0.3342204434
329	0.3339700819
330	0.3335247159
331	0.3331806203
332	0.3327943438
333	0.3326615461
334	0.3322402798
335	0.3321318037
336	0.3315844597
337	0.3312683644
338	0.3310232057
339	0.3307195256
340	0.3302744486
341	0.329995804
342	0.3293574652
343	0.3288970986
344	0.3288433629
345	0.3284745317
346	0.3284291419
347	0.3283559421
348	0.3280354475
349	0.3277337432
350	0.3274520219
351	0.3273537537
352	0.3273084838
353	0.3271544285
354	0.3266670959
355	0.3262797564
356	0.3259522351
357	0.325779551
358	0.3257136479
359	0.3256061866
360	0.3253342553
361	0.3249285558
362	0.3248015958
363	0.3247465234
364	0.3246392719
365	0.3245366183
366	0.3242007701
367	0.3238921524
368	0.3236556768
369	0.3233485411
370	0.323086449
371	0.3228241887
372	0.3226154821
373	0.3222697375
374	0.3219547646
375	0.3217901501
376	0.3216436887
377	0.3215352258
378	0.3214129199
379	0.3213768327
380	0.3213059399
381	0.3212511069
382	0.3210209942
383	0.3207311172
384	0.3206873241
385	0.3203462857
386	0.3202722573
387	0.3199832754
388	0.3197365602
389	0.3196044415
390	0.3194207714
391	0.3193807079
392	0.3193275708
393	0.3190849905
394	0.3187077107
395	0.318510301
396	0.318296226
397	0.3181770506
398	0.318114237
399	0.3180870109
400	0.3180416771
401	0.3177605676
402	0.3177269775
403	0.3175093832
404	0.3174060628
405	0.3173013583
406	0.3170229119
407	0.316845191
408	0.3166638082
409	0.3166071882
410	0.3165307408
411	0.3163864522
412	0.3163361355
413	0.3163047755
414	0.3161906753
415	0.3159621577
416	0.3157064154
417	0.3154429553
418	0.3152952201
419	0.3151659878
420	0.3150812786
421	0.3149856522
422	0.3148750777
423	0.3146473627
424	0.3145990609
425	0.3144971143
426	0.3144529504
427	0.3142553012
428	0.3141103121
429	0.3140703268
430	0.313835886
431	0.3136875521
432	0.3135007728
433	0.3130795531
434	0.3129142586
435	0.3125629258
436	0.3123408577
437	0.3122545416
438	0.3120852658
439	0.3120654776
440	0.3117869798
441	0.3117444813
442	0.3116623123
443	0.3116218781
444	0.3115878322
445	0.3113638245
446	0.3112951234
447	0.3112267296
448	0.3110692423
449	0.310966097
450	0.310899452
451	0.31088186
452	0.3107874779
453	0.3107494312
454	0.3105115115
455	0.3104546129
456	0.3102818414
457	0.310083445
458	0.310019234
459	0.3099626989
460	0.3098944693
461	0.3097718702
462	0.3096367813
463	0.309474133
464	0.309325014
465	0.3091944311
466	0.309170207
467	0.3090999089
468	0.3090060194
469	0.3088361818
470	0.3085686966
471	0.3084210158
472	0.3082711938
473	0.3081002623
474	0.3080107668
475	0.3078583474
476	0.3076349861
477	0.3075254515
478	0.307420641
479	0.3072882298
480	0.3072412109
481	0.307222552
482	0.3071096222
483	0.3070779049
484	0.3070645539
485	0.3068617012
486	0.3067184686
487	0.3066683049
488	0.3065358098
489	0.306497326
490	0.3064195197
491	0.3062736164
492	0.3062349962
493	0.3062173056
494	0.3061960426
495	0.3061403517
496	0.3060765522
497	0.3060598567
498	0.3059318529
499	0.3058569071
